"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date"
"https://www.nuuly.com/products/the-boyfriend-buttondown?color=010","JordanLynne","Cute but should have sized down","While I liked the overall style of the shirt it was just too big. I don't think I would have worn the shirt if I wasn't working from home during quarantine, even then I felt frumpy the few times I did wear it. Size down!","12-May-2020"
"https://www.nuuly.com/products/leopard-sweatshirt?color=015","ClaraG","Soft Top","This sweatshirt was so soft! It was cute for working from home with jeans and leggings","14-May-2020"
"https://www.nuuly.com/products/leopard-sweatshirt?color=015","christenbakken","Best sweatshirt ever","So, so soft. Just the right amount of bagginess. Super cute. Got tons of zoom, quarantine compliments. Only returning because white clothes don’t last long in my life...","12-May-2020"
"https://www.nuuly.com/products/leopard-sweatshirt?color=015","Bananaboston","Best Sweater","Chic, stylish and comfortable. This sweater is the perfect lightweight work from home sweater. I would size down in this because it does run slightly large.","4-May-2020"
"https://www.nuuly.com/products/leopard-sweatshirt?color=015","llaw","Love it!","Oh my goodness, I love this sweatshirt so much! The print is vibrant and the lining is super soft. I ordered my usual size and it is roomy, just like pictured on the model. Wearing this all the time!","1-May-2020"
"https://www.nuuly.com/products/audra-utility-pants?color=041","Cleigh_81","Very small","These were too small and I couldn’t wear them. The fabrics is a nice, deep indigo.","15-May-2020"
"https://www.nuuly.com/products/audra-utility-pants?color=041","SnooMama","Run small; size up","These ran small for me, so sadly I didn't get to wear them.","11-May-2020"
"https://www.nuuly.com/products/nicola-jumpsuit?color=040","JaneMarie","Fun year round jumpsuit","I listened to the reviews and ordered a size up. Normally I am a size 0 so I ordered a size 2 BUT I realized after, there was a petite option and that would have been the best fit for me at 5’2”! The straps are a little long as well as the torso section, so the crotch area has some extra fabric, but not enough for anyone else to notice or to stop me from wearing it. I have to say this jumpsuit is super comfortable and once I put it on, I felt put together for a social event and also free enough to do any activity. Great for a long day of wear to take from day to night. The fabric is on the thicker side and has great stretch while maintaining its structured look. If I would have ordered the right size, I definitely would have purchased.","14-May-2020"
"https://www.nuuly.com/products/nicola-jumpsuit?color=040","Booty","Perfect for pear shape","I'm a 6p in pants and a 2p (34A) in tops, so I tried this in 6p and it fit perfectly! The strips accross the front held in my puffy mom tummy, and the wide legs looked great with my bubble booty, so I bought it. It looks great with or without a shirt underneath, so I could wear this to work too!","9-May-2020"
"https://www.nuuly.com/products/nicola-jumpsuit?color=040","CFith","Denim Jumpsuit","Wish this would have worked! The fabric is really nice, but it was just way too big everywhere. I normally wear a 0-2, but probably should have ordered a 00p in this.","8-May-2020"
"https://www.nuuly.com/products/nicola-jumpsuit?color=040","asdf","Runs small in the chest!","Me, 36D, and my mother,34a were not able to dip this jumpsuit up over our chest. It was well-made and slightly stretchy, but seem to really run small there.","7-May-2020"
"https://www.nuuly.com/products/nicola-jumpsuit?color=040","VeryVA","Runs small but soooo cute on those it fits","Maybe it’s the cut, so a size up would have been the right play here. I was flying blind with no reviews. My fifteen year old daughter tried it on and it fit her like a glove. She is 5’3” and 117lbs with a lean, athletic body. It was tight in the lower body and certainly tight in the belly on me. I can go between a 2-4 and xs to s. I rely on your reviews to decide. I’m in that peri-menopausal time of my life so my body is just doing whatever it wants. My suggestion would be that you prepare yourself for a fitted jumpsuit with no give. Size up if you have any problem areas you don’t want to accentuate. If you get the right fit, you will absolutely turn heads. This one is a keeper!","3-May-2020"
"https://www.nuuly.com/products/nicola-jumpsuit?color=040","REGirl","Runs small and thick fabric","Might be good for work because the fabric is like suit material. Runs small.","1-May-2020"
"https://www.nuuly.com/products/abstract-joggers?color=009","LouWho","Good quality","Very high quality pants. Comfy and perfect for looking cute while casual. Will likely buy these or order them again.","15-May-2020"
"https://www.nuuly.com/products/abstract-joggers?color=009","christenbakken","Stay at home perfection","I did all kinds of quarantine activities in these loose fitting joggers. They are soft and not particularly flattering but I don’t think that’s the point.","12-May-2020"
"https://www.nuuly.com/products/abstract-joggers?color=009","K-TV","Comfy and Cute","I’m not a big fan of lounge wear to be worn outside the house but I LOVE these pants. I literally wore then everywhere. I rented them during quarantine so I could be comfy and cute. And I’m convert!","9-May-2020"
"https://www.nuuly.com/products/abstract-joggers?color=009","TayleeRobin","Comfy and cute","I liked the pants. They were really comfy and looked great with a crop top and sandals. My only complaint is that the crotch was a little low for me, so I had to wear them really high.","9-May-2020"
"https://www.nuuly.com/products/abstract-joggers?color=009","TripleA325","Goofy, cute pants","These pants run large and long, and looked clownish on me. They are comfortable and the print is cool but hard to pull off if you’re not tall and thin.","1-May-2020"
"https://www.nuuly.com/products/abstract-joggers?color=009","annieo212","LOVE so comfy","wearing them all the time during quarantine, they're so comfy & cute! i love boho pants like these. They fit well and arent awkwardly hanging low like some do","1-May-2020"
