"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date"
"https://www.nuuly.com/products/aurelia-smocked-top?color=015","","","",""
"https://www.nuuly.com/products/celina-tiered-maxi-skirt?color=066","","","",""
"https://www.nuuly.com/products/natalie-flounced-shift-dress?color=044","","","",""
"https://www.nuuly.com/products/want-you-tee?color=093","","","",""
"https://www.nuuly.com/products/mandy-maxi-dress?color=001","","","",""
"https://www.nuuly.com/products/sahara-button-up-shirt-dress?color=036","cdillydally","True to size, adjustable waist tie","Runs true to size with a loose fit on top and through the hips + an adjustable waist tie for a customizable fit. The waist tie can be tied in the front or wrapped around to the back making this dress easy to wear multiple times with slightly different styling","20-Apr-2020"
"https://www.nuuly.com/products/mercato-lounge-pants?color=000","","","",""
"https://www.nuuly.com/products/leopard-bandit-mid-rise-shorts?color=029","cdillydally","Large in the waist","These run a little large in the waist. If you like your jeans shorts to sit lower on your hips, your usual size will work! If you like a higher-waisted fit, I suggest sizing down. Length is super short which is what this designer is known for so be prepared for lots of leg!","20-Apr-2020"
"https://www.nuuly.com/products/sleeves-only-ribbed-cardi?color=010","cdillydally","One size fits most, sleeves are LONG!","This is a very cozy shrug with LONG sleeves that have a relaxed fit. I folded the sleeves a few inches to allow my hands to come through the openings. I had a little trouble keeping the shoulders in place but I think that could easily be fixed with the right layer underneath","20-Apr-2020"
"https://www.nuuly.com/products/mabel-printed-blouse?color=001","babyjean","Sexy Prairie Lady","Loved this and saw that Margot Price does too (a country star!) Would definitely wear this to a music festival... because those aren't happening, just danced around and baked in it.","19-May-2020"
"https://www.nuuly.com/products/mabel-printed-blouse?color=001","lavendertones","sadly all wrong for me","its absolutely beautiful but fit me horribly. i’ve never been at all blessed in the chest department but jeez!!! getting it on was hard enough but i really thought i was going to need help getting it off. i am also cursed with a short torso and it was not good trying to tuck this into jeans... just a weird fit for a small gal like myself. definitely size up if you’re going to try it out!!","15-May-2020"
"https://www.nuuly.com/products/mabel-printed-blouse?color=001","Blondehallelujah1","Boho perfection","I loved everything about this too. Flattering style and really cute print. Looks super cute with high waisted jeans or jean skirt.","15-Apr-2020"
"https://www.nuuly.com/products/mabel-printed-blouse?color=001","tallen","too big / didn’t fit right","I wanted to love this but the arms were too long and the waist too big.","3-Apr-2020"
"https://www.nuuly.com/products/mabel-printed-blouse?color=001","AshleyTaylor24","Summer Floral","I tried this on once and knew I needed to own it! So comfortable and the design makes it easy to dress up or down.","1-Apr-2020"
"https://www.nuuly.com/products/mabel-printed-blouse?color=001","sheartay","Cute date top","I really liked this top, I wore it a bunch of times! The only issue I had with it (hence the 4 stars) was that it flattens you out at the bust, but other than that it looked adorable tucked in or out and I got a lot of use out of it!","27-Mar-2020"
"https://www.nuuly.com/products/mabel-printed-blouse?color=001","nadroj","Runs big for Free People!","This top was *cute* but the quality was just meh! It had so much potential with some structure and cute design, but the fit was too loose. That being said I still made it work and wore it out to a nice dinner with jeans and heels, and then again working from home and running around town with clogs or flats. As a belled sleeve lover, good intro into this look. I recommend sizing down! Perhaps two sizes down if you don't have a big bust/arms.","24-Mar-2020"
"https://www.nuuly.com/products/mabel-printed-blouse?color=001","Teresann","Sexy Spring Top","Loved the sleeves and neckline.","24-Mar-2020"
"https://www.nuuly.com/products/mabel-printed-blouse?color=001","izzys","just sort of...ugly","Took a gamble on this one and added it to my Nuuly because I typically love everything and anything Free People. Instantly regretted. Unflattering pattern and really just a bad color scheme going on. I really really wanted it to work and I was going to copy the light wash jean look the model in the picture is wearing but it just was not happening and my roommates agreed (I tried walking out the door with it on.) Also fit really huge everywhere.","22-Mar-2020"
"https://www.nuuly.com/products/mabel-printed-blouse?color=001","Ericajean","Loved it bought it","This top is adorable looks as pictured.","20-Mar-2020"
"https://www.nuuly.com/products/mabel-printed-blouse?color=001","witchenergy","Wrong fit","Not sure what body type this would work it, the fit is cut really weird","18-Mar-2020"
"https://www.nuuly.com/products/mabel-printed-blouse?color=001","Laurenseana","Cute but size down","I figured I would be a Large but this was way too big. Size down","15-Mar-2020"
"https://www.nuuly.com/products/mabel-printed-blouse?color=001","Christinen1227","Super cute print","You can kind of see bra straps with the opening behind. Better worn with strapless or no bra. Would wear again!","13-Mar-2020"
"https://www.nuuly.com/products/mabel-printed-blouse?color=001","yassi","Cute, wish I sized down","Cute size, but I wish I had sized down. It needs to fit tight in the waist to look cute.","13-Mar-2020"
"https://www.nuuly.com/products/mabel-printed-blouse?color=001","willworkforclothes_","Dude, where's my boobs?","Was really excited for this top, it reminded me of last years ""Lolita"" top (which I own 2 in size large). I ordered the large based off of that sizing, however I'm not sure if there is just too much fabric up top, or if I needed to size down. I feel as though the waist was a good fit, but my boobs (which are kinda large) did NOT exist in this top. It was so strange! If you're between two sizes, order the smaller size and hopefully you'll have a better experience with this could-be-should-be beautiful top. Haven't worn it and won't :/","12-Mar-2020"
"https://www.nuuly.com/products/mabel-printed-blouse?color=001","themoonlitnest","Very pretty","FYI--Shows a lot of skin. Really pretty top. Didn't end up having anywhere to wear it this time, unfortunately.","11-Mar-2020"
"https://www.nuuly.com/products/mabel-printed-blouse?color=001","Tayhetz","Cute top with sleeves","I wish I would have sized down in this top. The small was a little big and I think the x-small would have been the perfect fit. The sleeves were fun and I got a lot of compliments at a work event.","9-Mar-2020"
"https://www.nuuly.com/products/mabel-printed-blouse?color=001","MBernie","Go smaller","If you are usually a medium and don't have huge boobs definitely go with a small. Cute top though, wish I could fill it out!","3-Mar-2020"
"https://www.nuuly.com/products/martina-pointelle-pullover?color=068","ivydiVINE","Adore this!","This is a great top- it's fun and very comfortable. The fabric is light weight and it looks expensive on. It dresses up a pair of joggers without loosing comfort. it's very versatile - I've worn it for Zoom work calls and when I wanna look dressed up for the day while still being cozy. It does run a little big - I'm going to try it in L next month and keep whichever fits better.","20-May-2020"
"https://www.nuuly.com/products/carlotta-collared-pullover?color=099","","","",""
"https://www.nuuly.com/products/gina-sweater-tank?color=079","","","",""
"https://www.nuuly.com/products/paint-splattered-denim-jacket?color=093","","","",""
"https://www.nuuly.com/products/benoite-tiered-flare-pants?color=010","Kelseyd","Great fit once I sized down!","I sized down based on the reviews and it was a perfect fit. I'm normally a size small but got the XS and it worked out great. Only complaint is the pockets come down past the shorts lining","19-May-2020"
"https://www.nuuly.com/products/benoite-tiered-flare-pants?color=010","caseyaam","Cute but size down","Good pants for the beach or wearing around the house since they are lightweight & comfy. They are see through but have a short lining. I would def recommend sizing down. I usually am a small (sometimes medium) but I ordered a small and could have used an XS. Since I was wearing around the house it wasn’t a big issue but if I order again for a beach trip I’d get a XS!","EMPLOYEE REVIEW"
"https://www.nuuly.com/products/lullaby-harper-top?color=048","hollzz","Fits like a sack","This top has 0 shape. It is huge and has a really awkward pleat on the front that make it poof out. I tried tying it but the pleat makes it impossible to work with.","14-May-2020"
