"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","Hlee","One of my FAVS!","I loved these jeans! The waist is definitely large and awkward, but id didn't matter, they are oversized and a really fun pair of jeans. They do stretch out a bit. The color is perfection.","13-May-2020"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","HBG119","Favorite Jean Right Now!","I love this pair of jeans so much! I wear them with everything! I love these because they have a boyfriend look with the perfect amount distressing, not too much and not too little. I would say these are very true to size for me, I do have larger thighs and calves and a smaller wait, so I don't see why others say they run small, other then they have no stretch. I ordered these three times in three different sizes (based on reviews to size up) and ended up purchasing my normal size 29.","21-Apr-2020"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","haneyroasted","Fun and true to size","I’m not curvy and got my usual size and they fit great. There is no stretch and fit snug at first but loosened up over time.","6-Mar-2020"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","Mackshad","Super cute","Ok, I think these pants are misunderstood. They are fantastic. I wore them a ton. Yes they were tight when I put them on, at first I thought they were too tight, but after wearing them for 20-30 minutes they loosened up a lot. I almost didn’t rent them because of all the bad reviews but I am so glad I did. Don’t let the reviews scare you! Order the size you usually wear, wiggle into them, trust me they will be comfy after the first few minutes","3-Mar-2020"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","KateAlex","Love them!","I love loose fitting jeans and these were amazing. They do run large- they are girlfriend style. I did have to wear a belt with these always, otherwise they would sit below my waist and I could pull about two inches of the material away from my waist.","1-Mar-2020"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","laurenhague","Don't Recommend, weird fit","These pants just did not fit right. Too loose in waist and too tight in hips in thighs. I even ordered a size up as the reviews recommended and they were just too weird.","19-Feb-2020"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","Yolanda","Order size up","Although the 26 still fit me, it was quite tight still. it also does not stretch at all","19-Feb-2020"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","hmp2004","broken in","Perfectly broken in, but runs small.","14-Feb-2020"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","cleva","Runs small","Nice jeans, but ran small; couldn't wear them","9-Feb-2020"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","Ccarxx","Love","So cute loved these they were just not in my size maybe I’ll get them again but in my size.","7-Feb-2020"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","Alyssawat","low waisted and teeny tiny pants","These pants would be really cute if they were high wasted and had more material. They sit very low on your waist, they run very very small as I got 27's and couldnt get them over my legs. And all of my pants are 27 - I prefer no stretch and these were great, they didnt stretch at all but they were too small to get my feet through.","6-Feb-2020"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","clementine22","Too big in the waist","Really cute jeans but the waist was huge","4-Feb-2020"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","Hbirb","Too Tight","I sized up 2 sizes and still these didn’t fit. They also have more of an acid wash to them, and I really wanted to have a light wash jean. Wanted to love them - they look adorable on the model.","31-Jan-2020"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","KLLGGG","Not for curvy girls","I wish I wish I wish these would've worked for me, but like most ""relaxed fit"" jeans without stretch, they didn't. Fit beautifully in the legs and butt, but was swimming in the waist.","9-Jan-2020"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","MelMarPie","RIDICULOUSLY tight","No stretch to these, I normally wear a 26, but I couldn’t even get these zipped.","23-Dec-2019"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","emmap123","Love but a little small in the hips","I don’t have a butt so they worked and fit once stretched out a little but someone with a booty probably would want to upsize!","14-Dec-2019"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","Cmarno","Cute but big","Normally wear a sz 4-6. These were gigantic.","13-Dec-2019"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","smallstrand","Not for petite","The cut of these is definitely not meant for a petite frame. Never wore out of the house.","9-Dec-2019"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","Aurora-Fae","comfortable and fun","Love it. Just wish they made it in a slightly shorter size for us petite girls. Not a big deal though as I just rolled up the ankles.","7-Dec-2019"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","Aurora-Fae","perfect","They were a bit too big at first, but then I washed them a few times while I had the jeans, and then they fit perfectly! Just snug enough while being equally relaxed. My boyfriend said he loved them on me.","7-Dec-2019"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","Okland","Nothing relaxed about these pants","Okay these are the cutest jeans ever but they run SO small. No give whatsoever. I went up one size and I should have gone up 3 sizes 😩","7-Dec-2019"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","lyndsmcdev","Wore these constantly","During the month I'd say I wore these the most! The were a little bit baggy on me but still flattering. They felt like a relaxed mom jean for me!","4-Dec-2019"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","soph127","cute but material not great for curves","material very stiff. it stretched out eventually and they were super cute but would not keep or recommend for anyone with hips","3-Dec-2019"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","LadyLongandthin","Loose fitted","The jeans were really large in the waist and had to be worn with a belt. Otherwise decent fit in the butt and legs.","24-Nov-2019"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","Ajs92","Nothing special","These jeans are as pictured, but weren’t very flattering on me. Fit in the waist and baggier throughout the hips and legs. Long on me, but I’m short so it’s to be expected. I could’ve made them work, but never ended up wearing them.","22-Nov-2019"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","Mina","Fits small :(","I'm usually a size 25 (in madewell, everlane, etc) but these were way too small, they wouldn't go over my thighs. I would probably need a 27 to actually fit into these. They would've been really cute otherwise!","20-Nov-2019"
"https://www.nuuly.com/products/good-time-relaxed-slim-jeans?color=040","JackieS","Weird fit","Super cute if they fit you, unfortunately they didn't for me. Perfect in the thighs, way too tight and not stretching in the hips, and super loose in the waist.","19-Nov-2019"
