"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date"
"https://www.nuuly.com/products/sweater-knit-polo2?color=001","Averacka","See-Through and thin","This item just wasn't what I was expecting, but that's my fault not the clothing's. It is very see-through and not sweatery like I expected. I couldn't really figure out how to style it.","3-Apr-2020"
"https://www.nuuly.com/products/sweater-knit-polo2?color=001","Pg","Ok","This sweater looked really cute in the website but nothing too great in person","29-Jan-2020"
"https://www.nuuly.com/products/sweater-knit-polo2?color=001","Tucked","Too snug and short","I tried this on but never wore it. It was too tight and short. It looks cool on the model in the pictures but just looked kind of cheap and corny on me in real life.","20-Dec-2019"
"https://www.nuuly.com/products/sweater-knit-polo2?color=001","Cheyeco","Cute Polo Sweater with Retro vibes","This is super cute and versatile. You can layer over it for winter appropriate attire. But I loved this piece it fit well and was true to size. I am 5'4 with a 34DD bust and usually wear about a size M in tops. The knit is a thick knit with natural materials so no polyester feel here! Get it!","4-Dec-2019"
"https://www.nuuly.com/products/sweater-knit-polo2?color=001","MrsAllen","High quality knit","A lot thicker than I expected. This shirt has a nice thickness to it that made it feel very high quality.","2-Dec-2019"
"https://www.nuuly.com/products/sweater-knit-polo2?color=001","astone77","Runs a little large","Cute shirt but runs a little large for the style.","30-Sep-2019"
"https://www.nuuly.com/products/sweater-knit-polo2?color=001","Ericalr42484","Too small","I wanted to love this but ran very small.","27-Sep-2019"
"https://www.nuuly.com/products/sweater-knit-polo2?color=001","leggos","Both Classic & Cool","It has a slightly heavier weight than I expected, sweater knit and not a fine jersey. That didn't bother me a bit because it is very cute, easy to wear with anything and has a very trendy look without actually being trendy. A great summer/fall transition piece.","11-Sep-2019"
"https://www.nuuly.com/products/goddess-one-shoulder-mini?color=010","asha","SUper cute","With beige underwear it's totally fine and adorable.","11-Mar-2020"
"https://www.nuuly.com/products/goddess-one-shoulder-mini?color=010","tooooses","The Asymmetrical Look","The asymmetrical look just doesn't work for me so I ended up not wearing it out.","6-Mar-2020"
"https://www.nuuly.com/products/goddess-one-shoulder-mini?color=010","soph127","Great for vacation","Wish I had more opportunities to wear this","2-Mar-2020"
"https://www.nuuly.com/products/goddess-one-shoulder-mini?color=010","emj","SO CUTE","Such a cute dress, highly recommend. It was a little see through (as any white dress is). But totally fine if you wore nude underwear. Love this dress!!!","4-Sep-2019"
"https://www.nuuly.com/products/goddess-one-shoulder-mini?color=010","TrousseauStyle","Very sheer","Overall this was pretty tight and short (probably should have gotten a larger size), but also was so sheer you could see nude underwear...","30-Aug-2019"
"https://www.nuuly.com/products/goddess-one-shoulder-mini?color=010","Sarah","Cute but incredibly see through","A really cute, well fitting dress but I unfortunately couldn't wear it because it was SO sheer. Would need to wear. slip or something underneath, even going no undies wasn't possible. So, def just make sure you have the right slip/spanx under garments before you rent!","26-Aug-2019"
"https://www.nuuly.com/products/goddess-one-shoulder-mini?color=010","PK","Dress was incredibly small","The dress was very cute but did not fit at all. I can usually wear a medium or large (sizes 8-10) but this would not even fit over my waist.","15-Aug-2019"
"https://www.nuuly.com/products/goddess-one-shoulder-mini?color=010","Mochi","Awkward","It fits but the silhouette is awkward once it's on like not flattering. It's also see through so you need to wear a bra and etc.","3-Aug-2019"
"https://www.nuuly.com/products/natasha-dress?color=000","GMD","Cute but sleeves were poofy","Dress was cute but the sleeves were just too much for me. They were overwhelming.","13-May-2020"
"https://www.nuuly.com/products/natasha-dress?color=000","amandahi","too much fabric for me","I was drowning in this dress with the loose, flowy style. I am short so it would probably work better on someone taller. The material and print are nice.","27-Mar-2020"
"https://www.nuuly.com/products/natasha-dress?color=000","Seven","Maybe with the right belt?","I wanted to like this one because it looks really cute, but the fabric is stiff, it doesn't lay quite right and as another review said, there are a lot of strings. The print is super cute. It looks better with a belt, imo, but I didn't have the right one for it. Needs a sandal and it's too cold here for sandals now.","1-Mar-2020"
