links_link,links_reviews_name,links_reviews_title,links_reviews_text,links_reviews_date,links_reviews_purpose
https://www.renttherunway.com/pdp/items/CD38,Cassidy,Felt very comfortable all evening.,"Overall fit TTS, tulle on the back of the skirt was bent from shipping which was sort of annoying. Comfortable and received many compliments at the charity event I wore it to.","March 12, 2020",Formal Affair
https://www.renttherunway.com/pdp/items/CD38,Nohelia,Fits great and looks amazing,Tons of people complimented this dress both online and in person. I loved it and will rent it again :),"February 7, 2020",Other
https://www.renttherunway.com/pdp/items/CD38,Alison,Star Trek heroine - super fun,"Wore this to an amazing over-the-top special wedding and it was perfect. Not something I would ever have worn otherwise but perfect for this event. Comfortable, showstopper, fit well, unique. Very happy I rented it. Regular strapless bra worked fine with it, and no need for shapewear.","December 25, 2019",True to Size
https://www.renttherunway.com/pdp/items/CD38,RTR Customer,Dress was gorgeous and received several compliments!,"Dress was absolutely gorgeous. I am 5'6"" and 140 lbs with a 34C bust. I am typically a 4-6/size small. The 6 fit okay - I possibly could have used the 4 but I was only sent the 6 since this was a backup dress that had to be shipped at the last minute bc my original was unavailable. Just gorgeous and will order again!","October 19, 2019",Wedding
https://www.renttherunway.com/pdp/items/CD38,Quinn,Loved everything about this dress!,It fit well and wasn't too tight so was comfortable. My husband also loved this dress. A little on the short side but is cute since has a high neck. The lace under the lace is hard to see but is beautiful.,"October 6, 2019",Formal Affair
https://www.renttherunway.com/pdp/items/CD38,Dawnesha,Unflattering color,I wanted to love this but it arrived and looked nothing like the pretty gold color on the model or even the one displayed in pics. I attached pics of it under the lights to try and show it. In my opinion it's more cheap flea market gold or the color of New Years eve streamers. I did like the high neck and if I had gotten one size down the tight fit may have helped it be more flattering. Instead it fit funny and the nudeish slip underneath didn't help out my coco skin tone. Overall the up close color and pattern reminded me more of my grandmas Sunday wear then party vibe. Also the lace was torn in certain areas and the meshing at the bottom was flipped out funny so I decided to return rather then wear to a party like I originally planned. The pics of the other girls looked super cute so I'd say order on the cautious side,"September 10, 2019",Other
https://www.renttherunway.com/pdp/items/CD38,Annie,NYFW,Rented this for NYFW and loved. A little short so better for petites :),"September 9, 2019",Other
https://www.renttherunway.com/pdp/items/CD38,Leah,"Fun, funky, flirty",Unique dress. Wore to a #KYDerby party. Fit well. Snug enough to go without a bra and be very supported.,"June 3, 2019",Formal Affair
https://www.renttherunway.com/pdp/items/CD38,Brittaney,Another look I wouldn't have picked solo but felt great in it thanks to Jess! Everyone loved it.,There really isn't much stretch but it fit well. I wore Spanx under it,"May 16, 2019",Party
https://www.renttherunway.com/pdp/items/CD38,RTR Customer,So cute!!,This dress fit like a glove for a petite girl like me. I got so many compliments on this dress. Would recommend.,"March 25, 2019",Party
https://www.renttherunway.com/pdp/items/CD38,Kathie,Stand out in Gold Lace!!,"Rented this with my Unlimited for Birthday dinner dress, as a backup, ended up not wearing my first choice and instead wore this, it was perfect!! The details and fit are great, it is elegant and still sexy and fun!! The lining inside has stretch, so the dress doesn't fit right and is very comfortable. You will need help, as usual with sipping and buttons at neck. The lace and net flare at the hem can get a little wonky after sitting for a while, overall a great dress-wore it twice!!","February 25, 2019",Party
https://www.renttherunway.com/pdp/items/CD38,Nancy,NYE party,Wore this to a New Years Eve / Engagement Party. Hard to sit in it because of the fabric of the skirt. It wasn't tight but didn't have much give and felt a bit itchy. But I felt pretty in it and got tons of compliments.,"February 16, 2019",Formal Affair
https://www.renttherunway.com/pdp/items/CD38,Ayofemi,Love this dress!,So comfortable and unique. This dress is a must try! Lots of compliments. The design is so pretty. Try it won't regret it!,"February 3, 2019",Party
https://www.renttherunway.com/pdp/items/CD38,Mackenzie,Fun metallic mini dress!,The dress is gorgeous in person. Very well made and so many pretty details. It's cut short with a fun mesh detail that gives volume to the skirt. I'm normally a 2 and I wore a 4 in this dress and it fit perfectly! No wiggle room so I'd recommend sizing up. Came with a gold liner so I could wear any bra so long as it has nude straps. I imagine it would look good with black tights too!,"January 2, 2019",Party
https://www.renttherunway.com/pdp/items/CD38,Danielle,"Pretty dress, great for the holidays!","Runs small, and very short but looks great with black opaque tights.","December 23, 2018",Party
