"links_link","links_reviews_name","links_reviews_title","links_reviews_text","links_reviews_date","links_reviews_purpose"
"https://www.renttherunway.com/pdp/items/ALS149","","","","",""
"https://www.renttherunway.com/pdp/items/TH188","Natalie","Love this top!","A great fit top, easy to pair with anything. Can dress it up or down!","December 8, 2019","Other"
"https://www.renttherunway.com/pdp/items/TH188","Melissa","High quality black sleeveless top","Nice quality fabric. Arm holes were a big gaping for my petite frame, but not horrible. Also was too much fabric to tuck in as I had planned.","November 3, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/TH188","Lisa","Classic staple piece","Large and flows. Might want to size down. Looks good tucked in with fitted skirt or loose with skinny jeans and heels.","March 22, 2020","Work"
"https://www.renttherunway.com/pdp/items/TH188","Karen","fantastic top - very flattering - easy, polished look","fit was true to size, got many compliments, would rent again","March 5, 2020","True to Size"
"https://www.renttherunway.com/pdp/items/TH188","Grace","Great basic!","This top is perfect to wear under a fun moto jacket in the winter. I wore it several times while I had it! True to size.","December 24, 2019","True to Size"
"https://www.renttherunway.com/pdp/items/TH188","Grace","Very versatile!","I wore out with a fur jacket with friends! Works with a bunch of different pieces and very flattering","December 13, 2019","Party"
"https://www.renttherunway.com/pdp/items/TH188","Rachael","A great classic staple!","I wore this under a few cardigans and blazers and it was perfect. Comfortable, moveable fabric and not too right around the neck. 10/10!","December 5, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/TH188","Vivian","Great work top","I really liked this top! It was high quality material.","November 22, 2019","Other"
"https://www.renttherunway.com/pdp/items/TH188","Archana","Can definitely be used as a staple!","Fits true to size and lays well. Can be paired with skinny pants as the top is a little bulky by the waist and ends.","October 9, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/TH188","Jennifer","Elegant with a slightly tight neck","I like basics with good shapes, and this fits the bill. The fabric is high enough quality to sit and move nicely. My one beef is with the high neck; the very top felt a little constricting, so I only wore it once. If it weren't for that, I might have bought it.","September 18, 2019","Party"
"https://www.renttherunway.com/pdp/items/TH188","Sarah","Great top for work into evening","Cute top. A lot of fabric around the middle so best tucked in to high wasted pants. Great look.","September 12, 2019","Work"
"https://www.renttherunway.com/pdp/items/TH188","Kelsey","Classic","Great top! I wore this with a skirt and it was a little bulky tucked in. I'd rent it again to go with skinny cut pants, not tucked or front tucked","August 22, 2019","Work"
"https://www.renttherunway.com/pdp/items/PGE27","Susan","Too high-waisted","Didn't wear - too high-waisted to be comfortable. But I have a short torso, so people who aren't will be fine.","April 22, 2020","True to Size"
"https://www.renttherunway.com/pdp/items/PGE27","Jen","Runs quite small - size up 1-2","The fabric is of decent quality, but the sizing is off. I am reliably a size 31R or US 12 in denim in high-waisted jeans and this fit two sizes too small; completely unable to button it. I had rented to wear out on my quarantine grocery runs and balcony lounging, but alas will be returning promptly.","April 19, 2020","Small"
"https://www.renttherunway.com/pdp/items/KRI20","Elizabeth","Beautiful but very worn looking","Loved this but had lots of pilling and looked very worn in. Would have bought it otherwise-fit and style were great.","April 5, 2020","Other"
"https://www.renttherunway.com/pdp/items/KRI20","RTR Customer","Loved it","Stretchy waistband and cute","March 19, 2020","Everyday"
"https://www.renttherunway.com/pdp/items/KRI20","Randi","Cute but very long","Loved this skirt but it went down to the floor, required me to roll the waistline several times before I got it to proper midi length. Looked cute with a sweater and heels for the office. Could also be great with a white T and sneakers for a casual spring look.","March 14, 2020","Work"
"https://www.renttherunway.com/pdp/items/KRI20","Cate","Flattering fit and material","Very cute skirt with great fit. Material was thicker so it helped flatter where silk can be a little to revealing. Loved the color and it worked well with a tee shirt and chunky sweater.","March 7, 2020","Everyday"
"https://www.renttherunway.com/pdp/items/KRI20","Mayra","Love this skirt, material looks expensive","This skirt fall super nice and the material looks good, even though it's a bit shinny it can be dress down with a black shirt. It also creates a great silhouette.","February 12, 2020","Work"
"https://www.renttherunway.com/pdp/items/KRI20","Sophie","Great skirt! (Once I put spanx on underneath)","Loved this skirt! The material did show off my hips more than I usually like but once I put spanx on I thought it looked a lot better!","January 19, 2020","Party"
"https://www.renttherunway.com/pdp/items/KRI20","Allie","Great Quality and Waistline, but a little long","The only reason I couldn't give this 5 stars is because the skirt is long and comes down to my mid calf","January 7, 2020","Work"
"https://www.renttherunway.com/pdp/items/KRI20","Alyssa","Dress it up or down","I loved this skirt! Very comfortable and flattering. I think this skirt would be perfect dressed up for a formal occasion or dressed down for everyday wear. I paired this with a tshirt and sneakers and got a ton of compliments.","December 31, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/KRI20","Julia","So pretty and feminine, goes with everything anywhere","I love this skirt. The fabric feels so smooth and luxurious - it's thicker than I expected and it feels like good quality. This drapes beautifully and is so comfortable. I've worn it so many times! To work, out to bars, to a party, wandering around Barcelona on vacation (pictured), and even to the airport. The color is pretty and unique without being crazy. Love this. Highly recommend.","November 12, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/KRI20","Brittany","Loved loved, but wrinkles easily!","The skirt is so comfortable omg, and with an elastic waistband it's so easy! Considering buying but it definitely wrinkles very easy. Would definitely rent again!","October 31, 2019","Work"
"https://www.renttherunway.com/pdp/items/KRI20","Leah","Pleasantly surprised","Ended up loving the quality and fit of the skirt! Such a pretty color too","October 28, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/KRI20","Hartley","Beautiful color","Beautiful color and perfect length. Can be dressed up or down","April 19, 2020","Everyday"
