"links_link","links_Review_name","links_Review_Title","links_Review_Text","links_Review_Date","links_Review_Purpose"
"https://www.renttherunway.com/pdp/items/RZ119","","","","",""
"https://www.renttherunway.com/pdp/items/ELT97","RTR Customer","Flattering and Flowy","I rented this as an option for an early spring bridal shower. It sits right at the smallest part of my waist and I love the asymmetrical hem. It's very light and flowy but still flattering. The shower was postponed, so I didn't actually wear it out of the house.","March 21, 2020","Other"
"https://www.renttherunway.com/pdp/items/AMR86","Patty","Runs small","Lovely but Runs very small. Could not wear","April 6, 2020","Date"
"https://www.renttherunway.com/pdp/items/SLN56","Sára","Stunning, unforgettable pink moment","This dress is an absolute DREAM. It fits perfectly, is incredibly flattering, and the color is absolute perfection if you want a bold moment. It is elegant thanks to the gorgeous neckline and chic material, but also flattering and figure hugging. Could not recommend this showstopper enough!","March 19, 2020","Formal Affair"
"https://www.renttherunway.com/pdp/items/ADP96","Sadi","Way Too Long","I like the style and the way it looks on the model, who must be 6ft +. It is not even close to wearable on on my 5ft height.","May 7, 2020","Large"
"https://www.renttherunway.com/pdp/items/ADP96","Nicole","Amazing Look","This is the it outfit for clean lines but giving a lot of attitude. Crisp white and the perfect length for 5'4. I wore it with flats during quarantine life and wished others could see how well it flowed. I normally where a 14 but sized up to make sure this was comfy and it was perfect; gave a bit of a dress look overall with the comfort of a jumpsuit.","April 22, 2020","Large"
"https://www.renttherunway.com/pdp/items/ACH6","Kathryn","Felt very lady like spring time dress","The size 6R is = to 2R. It fit well but not much extra room. The details are exceptional. Didn't think I'd like until I actually had it on. And the material is so soft that I wanted to keep it on. The cut out in the back is sexy and sophisticated.","April 17, 2020","Small"
"https://www.renttherunway.com/pdp/items/AMU218","Deon","Vibrant & fun","Just a bit narrow thru shoulders, but I am on broader side. Fantastic color!","March 1, 2020","Party"
"https://www.renttherunway.com/pdp/items/AMU218","Meagan","Love it!","Super easy. Looks great with or without a belt. Lots of compliments","February 25, 2020","Work"
"https://www.renttherunway.com/pdp/items/AMU218","Sherise","Money Green","Wore this dress to a tech convention in Palm Springs and felt super cute in it.","February 21, 2020","Work"
"https://www.renttherunway.com/pdp/items/AMU218","Essiejay","So much cuter than I expected!","I decided to try this style on a whim - I wasn't sure the shapeless style would be attractive on my size 8-10 figure. I ended up loving it! I belted it and that made it a little more stylish but it also looked cute without a belt. I loved the pockets! I will definitely rent this again.","February 14, 2020","Everyday"
"https://www.renttherunway.com/pdp/items/AMU218","Manju","Great color, odd fit","Lovely lovely color, but odd fit. Wrinkles really easily.","February 7, 2020","Everyday"
"https://www.renttherunway.com/pdp/items/AMU218","Hollyhammonds7","The color is awesome!","This was super comfortable, lightweight and roomy even with big hips!","February 5, 2020","True to Size"
"https://www.renttherunway.com/pdp/items/AMU218","Deborah","Longer than anticipated, but pretty","I was thinking this would be fun for the holidays, but it was longer than I wanted on my 5'3"" self. It came to my knees and I was looking for shorter. The medium was true to size (I'm typically an 8) and it was super cute and flattering, other than length. But ultimately, I returned it without wearing.","December 31, 2019","Other"
"https://www.renttherunway.com/pdp/items/AMU218","Kristyn","Beautiful color","Loved the green of this dress! I was worried it would be short on me so I ordered a larger size. This was a mistake as the dress is loose and kind of shapeless. Wish I went with my normal size or possible a size down. Besides that it was beautiful and easy to wear","December 25, 2019","Everyday"
"https://www.renttherunway.com/pdp/items/AMU218","Kristin","It will make you look like a tent, especially if you have any sort of a chest. Beautiful color.","No shape at all, so you look like you are wearing a (very pretty green) sack.","March 9, 2020","Large"
"https://www.renttherunway.com/pdp/items/AMU218","RTR Customer","Beautiful and fit perfectly. So many compliments","Lovely dress","March 7, 2020","True to Size"
"https://www.renttherunway.com/pdp/items/AMU218","Kim","The color and sleeves.","I received a ton of compliments on the dress!","February 29, 2020","True to Size"
"https://www.renttherunway.com/pdp/items/AMU218","RTR Customer","Long for a 5'3"" petite frame","The dress is cute and comfortable, but was a bit long for me (I'm 5'3) and I think the dress would have been really cute if it hit where it hits on the model.","February 26, 2020","Other"
"https://www.renttherunway.com/pdp/items/AMU218","RTR Customer","Loved this!!!","Gorgeous color, great fit. Love wearing this!","February 6, 2020","Everyday"
"https://www.renttherunway.com/pdp/items/AMU218","Madison","Beautiful!!","I wore this dress for a business casual event and absolutely loved it! Great material and stunning color.","February 4, 2020","Other"
"https://www.renttherunway.com/pdp/items/AMU218","Cara","Cute but not flattering","The neck was interesting but it looked strange on me. It was Bunchy and awkward. The material was very thin. Cute dress but too tent-like for me. I think a smaller size may have fit better.","January 7, 2020","Everyday"
"https://www.renttherunway.com/pdp/items/PR132","","","","",""
"https://www.renttherunway.com/pdp/items/ALSH5","Erin","Whimsical, flattering, and sexy","This dress was perfect for the formal/tropical wedding I was attending in Miami. The straps were very long, not adjustable and because of the sheer bodice, it was challenging to pin them shorter. It fit me well enough I didn't have to pin it, but it would have been a little more comfortable if they could have been adjustable. I'm smaller chested so the bodice wasn't a problem for me, but if you had a larger cup size it might be challenging. Overall loved it.","March 15, 2020","True to Size"
"https://www.renttherunway.com/pdp/items/ALSH5","Hannah","FABULOUS dress","The photos don't do this dress justice - I ordered it as a backup, but ended up wearing it bc it was so so flattering. It really accentuated my waist, and the sheer aspect of the corset was subtle but sexy. Would highly recommend if you want to receive tons of compliments!!","March 2, 2020","True to Size"
"https://www.renttherunway.com/pdp/items/ALSH5","Megan","I rented this dress for a dental school formal.","I would def recommend this dress. It was very flattering, classy, & comfortable. The only con was that the straps are not adjustable so I wouldn’t recommend if you have a short torso.","March 1, 2020","True to Size"
"https://www.renttherunway.com/pdp/items/ALSH5","Catie","Amazing cocktail party dress","Fit super well. Loved the patterned, lace material and the corset-top design. Very edgy meets princess cocktail dress.","February 11, 2020","Party"
"https://www.renttherunway.com/pdp/items/ALSH5","Valerie","I love this dress SO much!","I'm 5'5 and usually wear a size 4, but this dress was perfect for me in 6R. I thought the length was perfect and I wore it with 3-4 inch heels. Perfect dress for the warm Fort Lauderdale weather. Absolutely in love. I'd buy this dress definitely","January 31, 2020","Everyday"
"https://www.renttherunway.com/pdp/items/ALSH5","Nicole","Adorable Fall Dress!","This was a knockout dress; will likely rent again. It was full length on my 5'0 frame but I knew in my head I wanted to wear boots with it so that was fine. I sized up to a 10 for my boobs and it was perfect, a little extra room, not too tight. I paired it with a tweed jacket and it was <3","November 29, 2019","Other"
"https://www.renttherunway.com/pdp/items/ALSH5","Chandni","Simple but chic","Fits exactly right. Straps were a little long but not problematic throughout the night","November 27, 2019","Party"
