links_link,links_reviews_name,links_reviews_title,links_reviews_text,links_reviews_date,links_reviews_purpose
https://www.renttherunway.com/pdp/items/JSK20,Genevieve,Short for tall girls,,"May 6, 2020",Vacation
https://www.renttherunway.com/pdp/items/JSK20,Cynthia,Fits amazing,"This dress fits like a glove, so flattering! I usually wear between a size 6 and 8 and the 8 was perfect","January 23, 2020",Party
https://www.renttherunway.com/pdp/items/JSK20,Leslie,He can do no wrong!!! Johnathan does it again!,Amazing fit I sized up to a M and that was the right choice it fits more like a S. Very well made and rich feeling. Super fun cut and shows off the girls ;),"December 16, 2019",Vacation
https://www.renttherunway.com/pdp/items/JSK20,Irina,"Get this super sexy dress, you won't regret it","True to size and super flattering, this dress is not for those that don't like attention","October 15, 2019",Party
https://www.renttherunway.com/pdp/items/JSK20,Jessica,So fun!,"I usually wear a 2 but only the 4 was available and it was perfect. The sleeves kept slipping off but I wore a strapless bra and pinned the bust closed and all was great. Definitely short, but who cares?","September 6, 2019",Vacation
https://www.renttherunway.com/pdp/items/JSK20,Catie,Very sexy flirtatious dress,Rented this for Labor Day weekend. Fits like a glove!! It's a bit in the shorter side but it is very flattering for curvy bottoms. I used fashion tape to keep the sleeves up bc I don't have enough cleavage to hold this up but it's very cute and I didn't need a bra because there's padding inside. Definitely would rent again,"September 2, 2019",Everyday
https://www.renttherunway.com/pdp/items/JSK20,Amber,Soooo many compliments!,"I absolutely looooved this dress! Is shaped my body perfectly and of course made ""my girls"" look fabulous! I received tons of compliments and It was perfect for a night of with the ladies! I highly recommend renting!","August 28, 2019",Party
https://www.renttherunway.com/pdp/items/JSK20,Lizz,Gorgeous dress!,"This dress was EVERYTHING! Super sexy, very well made, and feminine. I wore it in the desert for photos, but it was probably to thick of fabric for extended summer wear. Very flattering would definitely rent again! You can check out other RTR outfits on my insta at @lizzparty if you want!","August 27, 2019",Vacation
https://www.renttherunway.com/pdp/items/JSK20,Loretta,This dress made me join RTR!,"I'm obsessed with this dress! I saw my friend wearing it and she told me all about RTR and convinced me to join and I did, in large part so I could rent this dress! It is very flattering on all body types. However, it is a little short in the back. Fits tight at the bust, which is flattering (I have smaller chest area). I'm just so in love with this dress!","August 21, 2019",Party
https://www.renttherunway.com/pdp/items/JSK20,Catherine,Girly fun dress,I think this dress was super flattering. The ruching In the center made this tight dress more forgiving which I loved. I got soooo many compliments when wearing this dress. Only downside I would say is that the sleeves are so annoying and keep falling down. Other than that would definitely rent this again.,"August 20, 2019",Other
https://www.renttherunway.com/pdp/items/JSK20,Parnika goel,Wore to nyc vacation and loved it!,Great dress that made me feel special all day. Received many compliments,"August 19, 2019",Vacation
https://www.renttherunway.com/pdp/items/JSK20,Ashley,Cute summer dress,"So fun and flirty, got a million compliments. It's very slimming but you will spill out if you have a big bust like me. A bra doesn't work with this dress but it was fine.","July 9, 2019",Vacation
https://www.renttherunway.com/pdp/items/JSK20,Elena,July 4 fun,"I wore this dress for a 4th of July party and received a lot of compliments. At first I was fussing with it a lot: the sleeves, the bust, pulling it down for length; but after a while I just gave up and let the dress do it's thing. The ruching in the center was not the most flattering for me either; wbut not a terrible look overall","July 5, 2019",Party
https://www.renttherunway.com/pdp/items/JSK20,Lena,Everyone complimented my dress,Great fit. Loved it,"June 23, 2019",Date
https://www.renttherunway.com/pdp/items/JSK20,RTR Customer,Cutest Striped Summer Dress,"LOVED this dress! It made me feel sexy and cute at the same time. The puff sleeves are so on trend, and the ruching of the body was super flattering. The dress is pretty short and the neck line is low cut, but I didn't feel uncomfortable. The material is also thick enough that I didn't have to wear a bra - always a plus! The color of the stripes is closer to red in person but photographs as more of a pink. Rent this dress for summer! For more of my RTR looks, check out my Instagram @hannahkahn.","June 20, 2019",Everyday
https://www.renttherunway.com/pdp/items/JSK20,Kelly,So many compliments,I wish I went down a size but it was still wearable! Such a cute and flattering dress!,"June 9, 2019",Everyday
https://www.renttherunway.com/pdp/items/JSK20,T.jones,Perfect Birthday Dress!,"I got so many compliments on this amazing dress. I had been eyeing it for a while and was excited it was available for my birthday. It hugged my curves in a great way. It doesn't have much stretch, though, so if you are between sizes you'll want to size up.","June 6, 2019",Party
https://www.renttherunway.com/pdp/items/JSK20,Caroline,The Cotton Kim K Met Gala Look,"I love this dress so much, the way that the lines go make you look chiseled while the dress is still comfortable and loose. I wore it for dinner on memorial day and it was a perfect look for","May 29, 2019",True to Size
https://www.renttherunway.com/pdp/items/JSK20,RTR Customer,Great dress that flattered my body type!,Fir well in stomach but A WHOLE LOT of cleavage !!,"April 22, 2019",Party
https://www.renttherunway.com/pdp/items/JSK20,Brooklyn,Went out in a date.,"Fit is absolutely beautiful and the dress is so fun. Sleeves are puffy, and material is great quality.","April 18, 2019",True to Size
https://www.renttherunway.com/pdp/items/JSK20,Juliette,So cute!!,Love this dress but runs really small!,"April 15, 2019",Vacation
https://www.renttherunway.com/pdp/items/JSK20,Selina,Adorable and feminine dress,Dress is beautifully made. The photos don't do it justice. The top was slightly disproportionate to the dress- really tight and not much coverage. I had to constantly readjust it. Everything else fit really nice.,"April 12, 2019",Everyday
https://www.renttherunway.com/pdp/items/JSK20,Deanna,Loved!!,Wore this for vacation in florida. Would definitely rent again for a summer garden party or another vacation. I'm usually a 6-8 and got the 8 cus it was all that was available and glad I did! Sleeves definitely fell down but personally they look cuter off the shoulder or you could safety pin them tighter to stay up (which is what I did around my family),"April 10, 2019",Vacation
https://www.renttherunway.com/pdp/items/JSK20,Kate,Fun & femme!,Fits well but can't wear a bra based on the cut. Lots of compliments. Short in the back. Loved this dress!,"March 16, 2019",True to Size
https://www.renttherunway.com/pdp/items/JSK20,Kk,tons of compliments !,loved this fun dress. wore on vacation. there is boning in the top which helps keep shape. the sleeves were fun but just slightly too long. they kept falling off my shoulders. worth it though!,"February 27, 2019",Date
https://www.renttherunway.com/pdp/items/JSK20,Princess,So cute and sexy! Perfect party dress.,I'm curvy and bustier. So I returned and ordered a size up. Can't wait to get it!,"March 11, 2020",Small
https://www.renttherunway.com/pdp/items/JSK20,Bonnie,So pretty,I wish I had known it ran small so I could've gotten a larger size! Some of the designer pieces you really do need to size up on and this is just one of them. The dress is beautiful and flattering though from when I slipped it on prior to returning,"February 27, 2020",Other
https://www.renttherunway.com/pdp/items/JSK20,Emily,The best dress!,I wish I could own this dress. Perfect for a summer day in New York City!,"December 23, 2019",True to Size
https://www.renttherunway.com/pdp/items/JSK20,Danielle,Such a cute dress for any occasion,Fitted in chest but so flattering!,"December 11, 2019",Small
https://www.renttherunway.com/pdp/items/JSK20,Judith,Hot girl summer,"I originally rented this in an 8, well in advance of a girl's trip, but gained weight and had to order a 10. Either way, the dress is super sexy and flattered my curves, even with the weight gain. Want to turn heads and feel super confident? Get this dress.","November 6, 2019",True to Size
https://www.renttherunway.com/pdp/items/JSK20,Lindsay,Sexy pirate,Ultimately there was too much going on with this dress. I looked like a pirate or something. It was more costumey than I had imagined.,"July 18, 2019",Party
https://www.renttherunway.com/pdp/items/JSK20,Jasmine,"Cute, but NO!","While I know I'm tall, I didn't expect for the dress to barely cover my butt. The dress also made me look big up top. I think this dress might be best for a petite size.","June 28, 2019",Small
