links_link,links_Review_name,links_Review_Title,links_Review_Text,links_Review_Date,links_Review_Purpose
https://www.renttherunway.com/pdp/items/DTP70,Katrina,One of my husbands favorites!,Lower front than I expected but lovely shape for hourglass figures. Easy to dance in and good quality fabric.,"March 28, 2020",True to Size
https://www.renttherunway.com/pdp/items/DTP70,Pallavi,Great Fit!,"I really enjoyed this dress and wore it to a charity gala that I got invited to. The only real negative was that I'm a D cup and it was slightly more revealing than I'd like it to be. But it's all good, my bf really enjoyed it.","March 11, 2020",Formal Affair
https://www.renttherunway.com/pdp/items/DTP70,Michelle,Back up dress I didn't get to wear but wish I would have,"This dress was beautiful and slimming. Definitely required shapewear as the fabric isn't the type to ""hide"" problem areas however the draping across the belly is flattering. In the end I picked the more dramatic dress for my event. Still wish I could have found a reason to wear this one as well.","March 10, 2020",Party
https://www.renttherunway.com/pdp/items/DTP70,Amanda,Pretty dress but better for someone flat chested,"I wore this dress to a wedding. The issue with it was the straps were too long. I really needed to wear a bra with it but it showed. So i was uncomfortable in it all night, hiking up the straps.","March 9, 2020",True to Size
https://www.renttherunway.com/pdp/items/DTP70,RTR Customer,"Very nice, sexy dress!","This dress was very sexy! I’m a size 16, curvey, and size DDD. I’m 5ft5in 195 lbs. If you have big boobs, You have to be ok with your boobs out, as it may be difficult to wear a bra with the low cleavage. Since I wasn’t used to it I was pulling at my dress trying not to be all out. But I may be a bit conservative. I really felt beautiful and sexy overall.","March 7, 2020",True to Size
https://www.renttherunway.com/pdp/items/DTP70,RTR Customer,Gorgeous for hourglass figures!,"This fit like a glove. I had so much fun dancing in it all night and it hugged my curves perfectly. It was lower than I expected, so I couldn't wear a strapless bra (it would show). I used boob tape instead which worked really well. I'm 5'5"" 145 lbs 34DD and the MR fit really well (I was wearing 3 inch heels). Would definitely recommend!","March 4, 2020",True to Size
https://www.renttherunway.com/pdp/items/DTP70,RTR Customer,Great event with good friends!,Perfect fit! I usually wear a size 6 and the medium fit perfect! It gave me a little more room in the bottom half so I could dance comfortably. I’m about 5’3 and the regular did not drag the ground one I put on 3 inch heels. The dress is simple but elegant and sexy! The material seemed to stretch just a little to be comfortable. Loved it and would definitely wear it again!,"January 30, 2020",True to Size
https://www.renttherunway.com/pdp/items/DTP70,RTR Customer,Felt incredibly beautiful in this dress!,This fit perfectly. It was flattering in all the right places and I got a ton of compliments all night. It photographs really well!,"January 23, 2020",True to Size
https://www.renttherunway.com/pdp/items/DTP70,Jessica,Very flattering,"This was my backup, but my friend's dress was too short so she wore this instead. The small was too big for me (I have small shoulders) but it fit her perfectly! She's 5'10"" and the long was great for her in heels","January 11, 2020",Wedding
https://www.renttherunway.com/pdp/items/DTP70,Shelley,This dress was gorgeous. Got lots of compliments,Fit perfect.,"January 6, 2020",True to Size
https://www.renttherunway.com/pdp/items/DTP70,Bree anna,Perfect for our last date of 2019 at a nice steakhouse.,"Fit was actually perfect but either it runs a little bigger in the chest/bust area or I just needed a slightly smaller size. Perfect length, didn't drag on the floor in my heels as pictured. Love the material and overall design, especially the slit!","January 3, 2020",Large
https://www.renttherunway.com/pdp/items/DTP70,RTR Customer,"New Years Eve Gala-I felt sexy but comfortable in my RTR dress. Process was simple, will do again!",Plunge was perfect and classy. Slit on leg was high but not too revealing. Great for women with curves because it accentuates them perfectly!,"January 2, 2020",True to Size
https://www.renttherunway.com/pdp/items/DTP70,Rachel,Fit like a glove!,"This dress was amazing! I wore it to a New Years Eve wedding downtown Chicago. I received so many compliments and my husband loved it ;) I feel like if I had a larger bust, I would have felt too ""exposed"" but it was perfect for me. I did have to be careful when bending over and dancing because I felt like my melons may come out. Either way, I loved it!!!","January 2, 2020",True to Size
https://www.renttherunway.com/pdp/items/DTP70,Yvonne,Very flattering,"I am a size 16/18 5'8. Wore 5 inch heels and it was a tad short for my preference (I like it flush with the ground) but not noticeable. I am 36DD chest, and I was adjusting them all night. I wouldn't recommend if you're any larger in the chest than I am. Hugs in all the right places and the slit allows you to move","December 30, 2019",Wedding
https://www.renttherunway.com/pdp/items/DTP70,RTR Customer,Skeptical about renting a dress and only getting it 2 days before the event. It was perfect!,True to form and very comfortable. It was low cut but very flattering. Was able to dance and move in it very comfortably. Great dress!,"December 18, 2019",True to Size
https://www.renttherunway.com/pdp/items/DTP70,Dionne,You think it is going to be a simple dress. But it is a show stopper!,Fits well and is slimming. I am naturally smaller at the top than at the bottom. So it was a little loose up top. I had a hard time finding the right bra to wear. But a girlfriend helped me pin my bra in place and I was good to go. I received sooooo many compliments,"December 18, 2019",True to Size
https://www.renttherunway.com/pdp/items/DTP70,Janet,I felt like I looked great. I received many compliments on the dress and how I good I looked.,"Overall, the dress fit well and was comfortable. For me, I think the straps could have been shortened some.","December 17, 2019",True to Size
https://www.renttherunway.com/pdp/items/DTP70,Jordyn,"Loved it, Just not Right","I loved it, but it is just to revealing for the event (Christmas+Winter)","December 17, 2019",Formal Affair
https://www.renttherunway.com/pdp/items/DTP70,Nicole,THE perfect dress,"I am 5'3"" 125lbs 36B. This dress is amazing. I ordered the XS and small as backup. The small was a bit too large up top, but the XS was perfect. I was worried about the length but it was fine. I had 2 babies in 2 years so I have the mom pouch going... spanx usually help a bit, but the faux wrap and ruching of the dress paired with the spanx made it the perfect fit for me. I got so many compliments and even my husband asked if there was a way I could buy the dress and wear it for every event :)","December 9, 2019",Formal Affair
https://www.renttherunway.com/pdp/items/DTP70,RTR Customer,Great fit and would make everyone look good!,The fit was perfect. I didn't have an issue with the top being loose and it was a very slimming dress. It was also super comfortable.,"December 9, 2019",Formal Affair
https://www.renttherunway.com/pdp/items/DTP70,Lauren,Perfect navy black tie dress!,"Such a perfect fit! Not too booby, perfect length, and material made the tightness not show as many imperfections","December 4, 2019",Wedding
https://www.renttherunway.com/pdp/items/DTP70,Anne,Simple yet stunning,"This was the ""free dress"" with rental. It might be understated as ""free"" but it was my pick for the special occasion. I weigh 133, I'm 5'5"", I have an athletic build and am a 34A bust. This dress made me feel and look like 100 million bucks. I had so many compliments.","November 27, 2019",Formal Affair
https://www.renttherunway.com/pdp/items/DTP70,Katherine,Fits Like a Glove,A beautiful dress for a wedding! It fit so well! It was the perfect mix of elegant but sexy. Very happy with my choice!,"November 26, 2019",Wedding
https://www.renttherunway.com/pdp/items/DTP70,Kiere,Great movement! Lovely fabric! I felt very elegant!,"It fits true to size- so order based on your normal dress size. The slit is on the left and is not one you have to worry about showing anything you don't want- which I appreciated! The low cut is nice with or without a bra. I definitely enjoyed the thin material, as it didn't tire my shoulders and I could move easily. Paired well with wedges. Great for any occasion!","November 17, 2019",Formal Affair
https://www.renttherunway.com/pdp/items/DTP70,RTR Customer,Loved this dress,"Every part of this dress fit like a glove, minus the top part, which was big, but only being a B cup that's a usual problem for me! I just used some fashion tape to avoid any wardrobe malfunctions! I would definitely recommend","November 13, 2019",Wedding
https://www.renttherunway.com/pdp/items/DTP70,Monica,Forgiving form fitting gown!,I rented this for a more formal wedding and was actually able to try this on at a RTR pop up. I loved this because there's a synch in the waist that is very forgiving and I felt comfortable in it (typically don't wear tight dresses). My only complaint is the top is super BIG. I tried to pin up all night and it was still too big and I'm a 34/36 D.,"November 6, 2019",Wedding
https://www.renttherunway.com/pdp/items/DTP70,Veronica,Making heads turn and receiving compliments all night!,This dress is AMAZING! Thank goodness I got it as a backup. The cuts are in all the right places and is perfect for curvier/hourglass shaped girls. The best part is you can wear a simple black bra with it and it will cover just fine. I used some fashion tape just to make sure everything stayed in place. The only con of the dress is that it was just a tad long for me (even wearing 3in heels) so it was a little difficult walking up and down stairs but otherwise perfect!,"November 3, 2019",Wedding
https://www.renttherunway.com/pdp/items/DTP70,Leah,Flattering and comfortable!,I probably could have worn the medium but I had a great time in this dress and got a lot of compliments!,"October 14, 2019",Wedding
https://www.renttherunway.com/pdp/items/DTP70,RTR Customer,great dress,very beautiful dress and color. Fabric was thick and stretchy so could wear without a bra. got a ton of compliments and was comfortable and covered all night. will rent again and may buy.,"March 18, 2020",True to Size
https://www.renttherunway.com/pdp/items/DTP70,Annika,It enhances and gives you an hour glass. Absolutely stunning. Would buy!,"It fit a little snug on the hips, but had enough stretch and the slit didn't make it an issue. It was flexible enough to dance all night and it looked stellar the entire time! Wore without a bra and it wasn't an issue -- no tape needed. Honestly I received so many compliments I would buy this dress instead of renting it again.","March 4, 2020",True to Size
https://www.renttherunway.com/pdp/items/DTP70,Celene,Loved this dress. Will rent for another occasion,,"March 4, 2020",Formal Affair
